producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Bondiola OTTONELLO atmósfera controlada x 200 g,Ottonello,Competencia,Ottonello,Carnes y cortes,218,1090,,,,,,devoto,,300294,https://www.devoto.com.uy/product/bondiola-ottonello-atmosfera-controlada-x-200-g/300294
Bondiola OTTONELLO atmósfera controlada x 200 g,Ottonello,Competencia,Ottonello,Carnes y cortes,218,1090,,,,,,disco,,300294,https://www.disco.com.uy/product/bondiola-ottonello-atmosfera-controlada-x-200-g/300294
Bondiola OTTONELLO Feteada Atmósfera Controlada x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,devoto,,300887,https://www.devoto.com.uy/product/bondiola-ottonello-feteada-atmosfera-controlada-x-kg/300887
Bondiola OTTONELLO Feteada Atmósfera Controlada x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,disco,,300887,https://www.disco.com.uy/product/bondiola-ottonello-feteada-atmosfera-controlada-x-kg/300887
Bondiola OTTONELLO Feteada Atmósfera Controlada x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,geant,,300887,https://www.geant.com.uy/product/bondiola-ottonello-feteada-atmosfera-controlada-x-kg/300887
Bondiola Ottonello Kg,Ottonello,Competencia,Ottonello,Carnes y cortes,1030,1030,,,,,,eldorado,,2682,https://www.eldorado.com.uy/bondiola-ottonello-kg/p
Bondiola OTTONELLO x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,devoto,,360199,https://www.devoto.com.uy/product/bondiola-ottonello-x-kg/360199
Bondiola OTTONELLO x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,disco,,360199,https://www.disco.com.uy/product/bondiola-ottonello-x-kg/360199
Bondiola OTTONELLO x kg,Ottonello,Competencia,Ottonello,Carnes y cortes,50,990,,,,,,geant,,360199,https://www.geant.com.uy/product/bondiola-ottonello-x-kg/360199
Lomo Ottonello Canadiense Kg,Ottonello,Competencia,Ottonello,Carnes y cortes,875,875,,,,,,eldorado,,9866,https://www.eldorado.com.uy/lomo-ottonello-canadiense-kg/p
Pipa Al Vacío Ottonello 220 Gr,Ottonello,Competencia,Ottonello,Carnes y cortes,195,195,,,,,,tata,,31160,https://www.tata.com.uy/pipa-al-vacio-ottonello-220-gr-31160/p
Tandilero Al Vacío Ottonello 230 Gr,Ottonello,Competencia,Ottonello,Carnes y cortes,175,175,,,,,,tata,,31158,https://www.tata.com.uy/tandilero-al-vacio-ottonello-230-gr-31158/p
Bondiola Ahumada Feteada Schneck 200 Gr,Schneck,Competencia,Schneck,Carnes y cortes,325,325,,,,,,tata,,167715,https://www.tata.com.uy/bondiola-ahumada-feteada-schneck-200-gr-167715/p
Húngaras SCHNECK al Vacío x 8 Unidades $ 550,Schneck,Competencia,Schneck,Carnes y cortes,550,,,,,,,tiendainglesa,,1095891,"https://www.tiendainglesa.com.uy/supermercado/hungaras-schneck-al-vacio-x-8-unidades.producto?1095891,,42"
Lengua Cocida SCHNECK al Vacío x 1 Unidad $ 1.660 x kg,Schneck,Competencia,Schneck,Carnes y cortes,1660,,,,,,,tiendainglesa,,801,"https://www.tiendainglesa.com.uy/supermercado/lengua-cocida-schneck-al-vacio-x-1-unidad.producto?801,,42"
Morcilla Dulce Schneck Al Vacio 2 U,Schneck,Competencia,Schneck,Carnes y cortes,602,649,,,,,,tata,,173492,https://www.tata.com.uy/morcilla-dulce-schneck-al-vacio-2-u-1000591622-173492/p
Morcilla Salada Schneck Al Vacio 2 U,Schneck,Competencia,Schneck,Carnes y cortes,578,649,,,,,,tata,,173487,https://www.tata.com.uy/morcilla-salada-schneck-al-vacio-2-u-1000591695-173487/p
Pildoritas Schneck Al Vacio Kg.,Schneck,Competencia,Schneck,Carnes y cortes,823,823,,,,,,eldorado,,20,https://www.eldorado.com.uy/pildoritas-schneck-al-vacio-kg/p
Pildoritas SCHNECK Envasadas al Vacío 550 gr,Schneck,Competencia,Schneck,Carnes y cortes,450,,,,,,,tiendainglesa,,1095885,"https://www.tiendainglesa.com.uy/supermercado/pildoritas-schneck-envasadas-al-vacio-550-gr.producto?1095885,,42"
Pipa Schneck Al Vacio,Schneck,Competencia,Schneck,Carnes y cortes,225,225,,,,,,tata,,164734,https://www.tata.com.uy/pipa-schneck-al-vacio-164734/p
Pipa sin Piel Al Vacío SCHNECK un.,Schneck,Competencia,Schneck,Carnes y cortes,149,,,,,,,devoto,,362432,https://www.devoto.com.uy/product/pipa-sin-piel-al-vacio-schneck-un/362432
Pipa sin Piel Al Vacío SCHNECK un.,Schneck,Competencia,Schneck,Carnes y cortes,149,,,,,,,disco,,362432,https://www.disco.com.uy/product/pipa-sin-piel-al-vacio-schneck-un/362432
Pipa sin Piel Al Vacío SCHNECK un.,Schneck,Competencia,Schneck,Carnes y cortes,149,,,,,,,geant,,362432,https://www.geant.com.uy/product/pipa-sin-piel-al-vacio-schneck-un/362432
Bondiola en Fetas SARUBBI 200 gr,Sarubbi,Sarubbi,Sarubbi,Carnes y cortes,290,,,,,,,tiendainglesa,,1097702,"https://www.tiendainglesa.com.uy/supermercado/bondiola-en-fetas-sarubbi-200-gr.producto?1097702,,42&campaign=search_facets"
Bondiola rellena Sarubbi x kg,Sarubbi,Sarubbi,Sarubbi,Carnes y cortes,589,589,,,,,,devoto,,346526,https://www.devoto.com.uy/product/bondiola-rellena-sarubbi-x-kg/346526
Bondiola rellena Sarubbi x kg,Sarubbi,Sarubbi,Sarubbi,Carnes y cortes,589,589,,,,,,disco,,346526,https://www.disco.com.uy/product/bondiola-rellena-sarubbi-x-kg/346526
Lomo Ahumado Redondo Sarubbi 100 G,Sarubbi,Sarubbi,Sarubbi,Carnes y cortes,55,550,,,,,,tata,,8610,https://www.tata.com.uy/lomo-ahumado-redondo-sarubbi-100-g-8610/p
Lomo Ahumado SARUBBI x 50 g,Sarubbi,Sarubbi,Sarubbi,Carnes y cortes,37,970,,,,,,geant,,362950,https://www.geant.com.uy/product/lomo-ahumado-sarubbi-x-50-g/362950
